timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
4/29/2020 22:08,b'Ventilators =&gt; Testing =&gt; Masks Which direction will the herd be stampeded next?  #PerpetualCrisis #MediaManipulation #MadnessOfCrowds #CoronaLockdown #CoronavirusUSA #coronavirus',"['PerpetualCrisis', 'MediaManipulation', 'MadnessOfCrowds', 'CoronaLockdown', 'CoronavirusUSA', 'coronavirus']",291,0
4/29/2020 22:06,b'@benshapiro They will let you drown in your pool of facts... hence the name \xe2\x80\x9cthe left\xe2\x80\x9d!  \xf0\x9f\x9a\xa8\xf0\x9f\x98\x8e\xf0\x9f\x91\x8d\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f #Antibodies #BackToWork #CoronavirusUSA',"['Antibodies', 'BackToWork', 'CoronavirusUSA']",581,0
4/29/2020 22:05,"b'61k Americans have died, surpassing the amount of  US troops that died in the Vietnam war.   But what do Coronavirus and the Vietnam war have in common?  @DonaldJTrumpJr did nothing to fight either of them.   #coronavirus #COVID19 #coronavirususa #CoronavirusOutbreak #Covid_19 https://t.co/62QXqNJ783'","['coronavirus', 'COVID19', 'coronavirususa', 'CoronavirusOutbreak', 'Covid_19']",4,-0.3
4/29/2020 21:58,b'#coronavirus #CoronavirusUSA #SARSCoV2 #COVID19 #Covid19usa   Time to reopen the #economy? \xf0\x9f\xa4\x94 https://t.co/JNroidRXzT',"['coronavirus', 'CoronavirusUSA', 'SARSCoV2', 'COVID19', 'Covid19usa', 'economy']",1767,0
4/29/2020 21:55,"b'Here are the CT Dept. of Public Health COVID-19 stats for Wednesday, April 29, 2020.  https://t.co/XNNNFDm7Ks Please stay safe and healthy as we work together through this pandemic. #CoronaVirusCT #CoronaVirusUSA #HopesAndPrayers'","['CoronaVirusCT', 'CoronaVirusUSA', 'HopesAndPrayers']",820,0.333333333
4/29/2020 21:54,b'COVID risk exaggerated: https://t.co/uH5M7rz25j  #COVID19 #Covid_19 #level4lockdown #dlaminizuma #coronavirus #coronavirusuk #coronavirusinindia #CoronaVirusInNigeria #CoronaVirusDE #coronavirusUSA #endthelockdown #Covid19usa #COVID19Aus #COVID\xe3\x83\xbc19 #COVIDCanada #StayHomeSaveLives',"['COVID19', 'Covid_19', 'level4lockdown', 'dlaminizuma', 'coronavirus', 'coronavirusuk', 'coronavirusinindia', 'CoronaVirusInNigeria', 'CoronaVirusDE', 'coronavirusUSA', 'endthelockdown', 'Covid19usa', 'COVID19Aus', 'COVIDー19', 'COVIDCanada', 'StayHomeSaveLives']",14,-0.5
4/29/2020 21:45,b'Wow! Incredibly heartbreaking!\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x92\x94\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #CoronavirusUSA https://t.co/NQdrqBhQzZ',['CoronavirusUSA'],2054,0.5125
4/29/2020 21:45,b'A disinfo campaign by the #FakeNewsMedia and partisan driven regulations by #Democratic politicians has prevented for many the use of a valuable tool against the #coronavirus.   Great study from Italy on #hydroxychroloquine.  #CoronavirusUSA #KAG #TWGRP  https://t.co/hjSmfUNhLX',"['FakeNewsMedia', 'Democratic', 'coronavirus', 'hydroxychroloquine', 'CoronavirusUSA', 'KAG', 'TWGRP']",13184,0.65
4/29/2020 21:41,b'Which Country has the Highest CoronaVirus Death Toll ? Watch the Bar Chart Race Here \xf0\x9f\x91\x89 https://t.co/CAuKuoAvYh  #CoronaVirus #Death #Covid-19 #Covid #Corona #Lockdown #COVID19 #Data #CoronaVirusUSA #USA #Spain #CoronaVirusIndia #WednesdayMorning #WednesdayMood #WednesdayThoughts https://t.co/fmDwSWWrGU',"['CoronaVirus', 'Death', 'Covid', 'Covid', 'Corona', 'Lockdown', 'COVID19', 'Data', 'CoronaVirusUSA', 'USA', 'Spain', 'CoronaVirusIndia', 'WednesdayMorning', 'WednesdayMood', 'WednesdayThoughts']",15988,0
4/29/2020 21:41,b'Which Country has the Highest CoronaVirus Death Toll ? Watch the Bar Chart Race Here \xf0\x9f\x91\x89 https://t.co/iPvKCanRVH  #CoronaVirus #Death #Covid-19 #Covid #Corona #Lockdown #COVID19 #Data #CoronaVirusUSA #USA #Spain #CoronaVirusIndia #WednesdayMorning #WednesdayMood #WednesdayThoughts https://t.co/gZZFnRsTUh',"['CoronaVirus', 'Death', 'Covid', 'Covid', 'Corona', 'Lockdown', 'COVID19', 'Data', 'CoronaVirusUSA', 'USA', 'Spain', 'CoronaVirusIndia', 'WednesdayMorning', 'WednesdayMood', 'WednesdayThoughts']",71,0
4/29/2020 21:40,b'$1.5B #NIH initiative seeks to make #COVID19 diagnostics available to all Americans by end of summer https://t.co/H6wiCyTCnj #coronavirustests #COVID19testing #COVID2019 #COVID #covidusa #CoronavirusTesting #Covid_19 #COVID19US #CoronavirusUSA #coronavirus #COVID\xe3\x83\xbc19',"['NIH', 'COVID19', 'coronavirustests', 'COVID19testing', 'COVID2019', 'COVID', 'covidusa', 'CoronavirusTesting', 'Covid_19', 'COVID19US', 'CoronavirusUSA', 'coronavirus', 'COVIDー19']",2198,0.4
4/29/2020 21:36,b'The Kangaroo Crew  STAY SAFE #preK #homeschool #SocialDistancing  #health  #kids #mom #dad #homebound #NJ #freeresources #fun #literacy #games #story  #CoronavirusUSA #CNNSesameStreet #Masks #Alphabet https://t.co/P6Ob506F3h',"['preK', 'homeschool', 'SocialDistancing', 'health', 'kids', 'mom', 'dad', 'homebound', 'NJ', 'freeresources', 'fun', 'literacy', 'games', 'story', 'CoronavirusUSA', 'CNNSesameStreet', 'Masks', 'Alphabet']",5850,0.4
